surface_m2,nb_pieces,nb_chambres,arrondissement,etage,nb_etages_immeuble,annee_construction,balcon,terrasse,parking,cave,ascenseur,renovation_recente,distance_metro_m,prix
85,2,1,7,4,5,1854,0,0,1,0,1,0,126,1389240
39,3,2,2,7,9,1944,0,0,0,0,0,0,433,373025
35,2,1,11,1,3,1853,0,1,1,0,0,0,126,402269
79,4,3,14,1,3,1857,0,0,1,1,0,1,122,952055
54,5,4,5,1,3,2019,0,0,0,0,0,0,170,684559
89,4,3,9,5,8,2012,1,0,0,1,1,0,158,1154367
78,2,1,7,2,3,1990,1,0,0,0,0,1,108,1502195
59,4,3,14,7,8,1982,1,0,0,1,0,0,616,580419
39,2,1,16,5,7,1889,1,1,0,0,0,1,613,600839
29,2,1,16,2,4,1868,1,1,0,1,1,0,156,519252
68,1,0,7,1,3,1931,1,0,0,0,0,0,647,908293
33,2,1,10,4,6,1974,0,0,0,0,1,0,369,269280
39,5,4,6,2,5,1853,0,0,1,1,0,1,123,796683
66,2,1,17,6,7,1977,0,0,0,0,0,0,603,652586
63,2,1,1,3,5,1995,0,0,0,1,1,0,803,781987
34,6,5,2,2,4,2001,0,1,1,1,1,1,240,484853
107,1,0,14,4,5,1956,0,1,0,0,1,1,125,1517321
105,4,3,4,1,3,1942,0,0,1,1,0,0,376,1173336
80,2,1,9,4,6,1880,0,1,0,0,1,0,76,1083286
80,1,0,6,0,3,1907,1,0,0,0,1,0,255,1088216
80,5,4,17,4,5,1877,0,1,1,1,1,1,189,1386237
100,1,0,11,3,4,1986,0,1,1,1,1,0,103,1439265
86,3,2,4,3,5,2022,0,0,0,0,0,1,520,1048115
41,2,1,9,4,6,1939,0,0,0,1,1,0,865,480612
54,1,0,16,0,3,1898,0,0,1,0,0,0,379,678012
189,1,0,3,3,4,1960,1,0,1,1,1,0,244,2278510
25,1,0,4,3,5,1851,0,0,0,0,1,0,124,313444
48,1,0,3,3,5,1855,1,0,0,0,0,0,429,425430
107,4,3,13,7,9,1878,1,0,1,0,1,1,421,1331974
42,3,2,19,1,4,2003,0,0,0,0,1,0,133,385798
87,2,1,1,4,7,2005,1,1,1,1,0,0,490,1276167
63,2,1,6,3,5,1856,0,0,0,0,1,1,164,1074604
43,5,4,3,3,5,1883,1,0,0,1,1,0,519,416224
24,5,4,3,5,8,1987,0,0,0,0,1,0,404,239330
67,4,3,16,1,3,1961,1,0,0,0,0,1,85,1047911
40,5,4,10,5,7,1906,0,0,1,0,0,0,262,422597
58,2,1,17,0,3,1876,1,0,0,0,0,0,423,518064
80,2,1,7,3,6,1888,0,0,1,0,1,1,207,1468996
96,3,2,13,5,8,1999,0,0,1,0,0,0,414,996393
48,3,2,11,1,4,1968,0,0,0,0,1,1,357,617577
43,3,2,10,5,6,1996,1,1,0,0,0,0,323,528659
32,2,1,7,1,3,1949,0,1,0,1,0,0,287,440065
98,6,5,6,5,8,1858,1,0,0,0,1,1,339,1576693
174,4,3,1,3,4,1996,1,0,0,1,1,0,79,2601061
104,2,1,17,4,5,1851,0,0,0,0,1,1,926,1281603
117,4,3,12,6,7,1941,0,0,0,1,1,0,341,1118323
42,2,1,4,3,5,1908,0,0,0,0,1,1,574,449352
77,1,0,3,1,4,1920,1,0,1,0,1,1,468,1005119
92,2,1,6,6,8,1919,1,0,0,1,1,0,243,1397116
36,2,1,16,1,4,2010,0,0,0,0,0,1,263,587345
139,1,0,13,4,5,1874,0,0,1,0,1,0,604,1237206
30,4,3,9,7,10,1919,1,1,1,0,1,1,376,460220
127,2,1,11,4,7,2005,0,0,0,1,1,0,912,1324472
30,3,2,20,1,3,1995,1,0,0,0,0,1,208,284878
37,1,0,13,1,3,1912,0,0,1,0,0,0,196,439922
78,2,1,19,2,3,1898,1,1,0,0,0,0,234,828171
63,5,4,3,2,3,1972,0,0,1,0,1,0,870,715969
50,3,2,12,1,3,1973,0,0,0,1,1,0,183,640696
136,5,4,19,5,8,1889,0,0,0,1,1,0,472,1206090
33,6,5,8,2,5,1934,0,0,1,0,1,0,189,640407
56,2,1,14,7,8,1936,0,0,0,0,1,0,271,590449
83,2,1,9,6,7,1929,1,0,0,1,1,0,536,1038356
71,4,3,17,6,7,1853,0,0,0,0,1,1,433,762894
44,6,5,6,2,5,1883,1,0,1,0,1,0,665,683698
45,3,2,4,4,7,1854,0,0,1,0,1,0,648,520647
95,4,3,4,2,3,1999,1,0,1,0,1,1,59,1349244
97,4,3,19,2,5,1997,0,0,0,0,1,0,424,815336
72,2,1,12,4,7,1952,0,0,0,0,1,0,357,776545
40,3,2,2,5,8,1883,0,0,1,1,1,1,488,563235
46,4,3,17,0,3,2021,0,1,0,1,0,0,225,546354
60,3,2,15,2,5,1855,0,0,0,0,1,0,415,613537
65,1,0,10,1,4,1878,1,0,0,1,1,0,131,711437
81,2,1,3,5,6,1902,0,0,1,1,1,0,239,886815
55,1,0,20,7,8,1850,0,0,0,0,0,0,369,364660
94,2,1,4,0,3,1908,1,1,0,0,0,0,915,898904
93,5,4,1,2,3,1856,0,0,1,1,0,1,873,1348731
119,1,0,1,6,8,2009,1,0,0,1,1,1,132,1751764
62,2,1,18,2,5,1927,1,0,0,0,1,0,421,706299
73,2,1,4,5,8,1900,1,0,1,0,1,0,75,943549
57,3,2,15,1,4,1996,0,0,0,0,1,0,369,546676
40,3,2,10,3,4,1876,0,0,0,1,1,0,272,379219
172,2,1,17,3,6,1912,0,0,0,0,1,1,100,1899874
111,2,1,12,5,6,1910,0,0,0,0,1,0,370,1063943
92,2,1,20,2,3,1910,0,0,0,1,1,1,697,827240
61,3,2,12,2,3,1975,1,0,0,0,0,0,133,738647
38,2,1,16,2,5,1894,0,0,0,0,0,1,352,585546
101,5,4,5,4,5,1998,0,0,0,1,1,1,139,1635563
57,3,2,16,6,8,2021,0,0,1,0,1,0,553,836694
76,1,0,17,6,8,1978,0,0,1,0,1,0,120,821137
45,4,3,15,0,3,1944,0,0,1,1,0,0,213,599130
70,2,1,13,6,8,1940,1,0,0,0,1,0,335,711908
47,3,2,8,0,3,1893,0,0,0,0,0,0,228,528845
48,2,1,2,3,5,1911,1,0,1,1,0,0,180,665717
69,3,2,8,5,8,1910,1,0,0,0,1,1,771,1121656
30,4,3,10,0,3,1928,1,0,1,0,0,0,696,290064
30,5,4,7,0,3,1938,0,0,0,0,1,0,467,426801
42,2,1,10,2,4,1961,0,0,0,0,1,1,553,451587
55,2,1,4,5,6,1960,0,0,0,1,1,0,643,574575
95,3,2,11,3,4,1899,1,0,0,1,1,1,409,1229009
56,5,4,9,3,5,1890,1,0,0,0,1,0,186,641253
61,5,4,4,5,6,1882,0,0,0,0,1,0,138,642760
53,1,0,3,5,7,1861,0,0,0,0,1,0,437,450808
72,1,0,11,5,7,1851,0,0,1,0,1,0,509,644628
40,3,2,3,3,5,1956,0,0,0,1,1,0,358,411446
58,1,0,18,0,3,1998,0,0,1,1,0,0,369,531405
76,2,1,19,1,4,1991,0,0,0,0,1,0,282,615180
69,1,0,14,5,6,1883,0,0,0,0,1,0,747,544149
62,3,2,11,5,8,1934,0,0,1,0,1,0,337,581091
62,5,4,2,7,8,2000,1,0,1,1,1,0,77,828185
79,6,5,2,1,3,1934,1,0,0,0,0,0,220,802547
176,2,1,2,1,4,1899,1,1,0,0,1,1,400,2360920
41,3,2,10,1,3,1991,1,0,0,1,0,0,315,426255
179,4,3,15,1,3,1955,0,0,0,1,1,1,468,2278374
40,1,0,12,3,5,1895,0,0,1,0,1,0,290,464008
23,3,2,11,7,10,1967,1,0,0,0,1,0,395,253169
46,2,1,17,4,5,1854,0,1,0,0,0,0,626,476711
73,2,1,18,3,6,1915,0,0,0,0,1,0,341,629789
156,2,1,14,4,7,1999,0,0,0,1,1,0,670,1590749
38,1,0,17,0,3,1919,0,1,0,0,0,0,505,399586
79,3,2,15,5,8,1957,0,0,0,0,0,0,476,807901
31,2,1,12,4,6,1851,0,0,0,0,1,0,535,299672
153,2,1,16,1,3,1878,0,0,0,1,0,0,257,1673361
112,1,0,6,4,7,1910,0,1,1,0,1,1,362,1990688
48,4,3,2,4,7,1949,1,1,0,0,1,0,447,613925
122,3,2,2,0,3,1977,1,0,1,1,0,0,232,1584805
58,3,2,16,2,5,1993,1,0,0,1,1,0,118,974957
115,3,2,2,2,3,1946,1,0,0,0,1,0,215,1258361
61,2,1,8,1,4,1946,0,0,1,0,0,0,967,753260
63,2,1,7,1,4,1863,1,0,0,0,1,1,525,996936
48,4,3,1,4,7,1892,0,0,1,0,1,0,233,572412
85,1,0,4,3,4,2020,1,0,1,1,0,0,791,1111142
65,1,0,11,4,7,1919,0,0,0,1,1,0,358,772438
80,4,3,20,7,8,1904,1,0,1,0,1,0,324,697529
29,2,1,7,4,5,1880,0,0,0,1,1,0,460,378465
118,2,1,18,4,7,1925,0,1,0,1,1,0,326,1499600
134,3,2,4,6,8,2017,1,0,1,0,1,0,193,1897969
65,2,1,17,4,7,2004,1,0,0,1,1,0,134,867405
169,4,3,11,1,3,1901,0,0,1,0,0,1,567,1868514
147,3,2,11,2,5,1977,1,0,0,0,1,0,252,1629171
86,3,2,20,5,7,1856,0,0,0,1,1,0,403,698553
123,4,3,11,5,6,2023,1,0,0,0,1,0,597,1297444
106,2,1,15,7,8,1949,0,0,0,0,1,0,175,1233550
26,2,1,14,4,7,2010,1,0,0,0,0,1,65,322420
53,2,1,17,6,9,1985,0,0,0,1,1,0,94,477573
89,2,1,2,0,3,1982,1,0,0,1,0,0,211,934025
139,6,5,18,4,6,1910,0,0,1,1,0,0,171,1534220
31,4,3,16,6,7,1953,0,0,0,0,1,0,651,391641
27,2,1,12,2,4,2001,0,0,0,0,1,0,272,365047
59,1,0,10,1,3,1856,0,1,0,0,0,0,202,558022
24,1,0,16,2,3,1932,0,0,0,0,0,0,410,342564
58,2,1,3,5,7,1944,1,0,0,0,1,0,760,679001
74,1,0,8,0,3,2013,0,0,0,0,1,0,184,1324249
38,3,2,2,4,6,1876,0,0,0,1,1,1,470,435063
59,4,3,1,1,4,1973,0,0,0,1,1,0,286,622206
100,4,3,14,3,4,2006,0,0,0,1,1,1,323,1137656
46,2,1,4,7,8,1936,0,0,1,1,1,0,596,570852
40,2,1,4,1,4,1997,1,0,1,0,1,1,863,622920
58,3,2,9,0,3,1919,0,0,0,0,0,1,219,723843
36,4,3,3,3,4,1963,0,0,0,1,1,0,196,407471
162,4,3,5,4,6,1925,0,0,0,0,1,1,582,2330273
62,5,4,1,2,4,1963,1,0,1,0,1,1,897,950131
42,3,2,19,3,4,1852,1,0,1,0,1,0,600,362260
68,3,2,1,7,9,2016,1,0,0,0,1,1,496,945498
58,1,0,10,2,3,1948,0,0,0,0,0,0,328,573906
54,3,2,12,2,3,1973,1,0,1,1,0,0,433,679743
46,2,1,10,3,6,1894,1,0,0,1,1,1,422,544847
45,2,1,2,3,5,1975,1,1,1,1,1,1,339,730210
29,3,2,16,0,3,1917,0,0,0,0,1,0,414,437299
123,2,1,8,4,5,1880,1,1,1,0,1,0,311,2452908
83,1,0,14,7,10,1955,0,0,1,0,1,0,143,1023808
72,1,0,15,2,4,1887,0,0,0,0,1,0,189,937274
57,1,0,16,4,6,1983,0,0,0,0,1,0,299,790379
37,1,0,11,0,3,1857,1,0,1,1,0,0,371,389363
41,1,0,12,4,6,1877,1,0,1,0,1,1,269,615419
30,2,1,2,3,5,1864,1,0,0,1,1,0,302,340808
44,2,1,4,3,4,1857,1,0,0,0,1,0,90,498364
35,6,5,3,3,6,1903,1,0,1,0,0,0,413,403813
143,2,1,9,1,3,1983,1,0,0,0,1,1,704,1784727
97,1,0,18,5,6,1878,0,0,0,1,1,0,384,820889
64,3,2,19,4,5,1964,0,0,1,1,0,0,519,618569
39,4,3,7,2,5,1883,1,1,0,1,1,0,384,652075
36,3,2,4,7,10,1856,0,0,1,1,1,1,211,399604
55,2,1,6,0,3,1889,1,0,1,1,0,0,281,775631
99,3,2,19,5,6,1923,1,0,1,1,1,1,142,1206244
30,4,3,1,2,3,1990,0,0,0,0,1,0,255,371868
82,4,3,16,3,5,1911,1,0,1,0,1,0,122,1480813
43,3,2,11,2,4,1935,0,0,0,1,1,0,405,495637
47,4,3,4,2,4,1965,0,0,0,1,1,0,211,465039
63,4,3,18,0,3,1914,0,0,0,1,0,0,877,538467
40,3,2,5,5,8,1890,1,0,0,0,1,0,140,491141
54,2,1,6,5,7,1972,1,0,0,1,1,1,234,911565
38,3,2,2,4,5,2019,0,0,1,1,1,0,132,560003
45,4,3,12,6,8,1965,0,1,1,0,0,1,442,600332
91,1,0,9,6,9,1915,0,0,1,0,0,1,239,1359365
64,6,5,20,4,5,1965,0,0,1,1,0,0,240,605425
90,2,1,12,4,6,1988,0,1,0,0,0,0,312,1108151
43,3,2,13,0,3,1950,0,0,0,0,0,0,354,365172
82,4,3,17,6,7,1899,1,0,0,0,0,0,149,811591
28,2,1,5,5,6,1920,1,0,0,0,1,0,243,342269
63,3,2,20,0,3,2012,0,1,0,1,0,0,605,594003
85,1,0,13,3,6,1929,0,0,0,0,1,0,311,839168
27,2,1,13,6,9,1928,1,0,0,0,0,1,361,275705
43,2,1,10,1,4,1869,0,1,0,0,1,0,175,415693
63,2,1,15,2,3,2005,0,0,0,1,0,0,260,720545
103,2,1,15,2,4,1972,0,0,0,1,1,1,342,1548940
45,6,5,18,2,3,1886,1,0,0,0,1,1,262,522557
81,6,5,18,0,3,1852,0,0,0,1,1,0,259,759722
127,1,0,2,2,4,1942,1,0,0,1,0,1,642,1806239
83,4,3,11,2,3,1950,0,0,0,0,1,1,529,858180
55,1,0,13,6,9,2004,0,0,0,1,0,1,1130,506052
74,1,0,11,2,3,1881,1,0,0,1,1,0,473,814806
45,1,0,4,3,5,1897,0,0,0,1,0,0,379,428087
64,6,5,15,2,3,1895,0,0,0,1,1,0,234,698015
56,5,4,11,1,3,1963,0,0,0,0,0,1,218,576706
73,2,1,18,7,9,1944,1,1,0,1,1,1,268,873294
49,2,1,16,6,7,1896,1,0,0,0,0,1,315,767067
75,2,1,10,3,6,1889,0,0,1,1,1,0,215,734111
49,3,2,12,3,6,1980,1,0,0,1,1,0,104,659123
96,3,2,13,4,7,1965,0,0,0,0,1,0,472,863311
52,2,1,9,2,4,2006,0,0,0,1,1,0,529,631625
24,4,3,13,0,3,1940,0,1,1,0,0,1,239,285663
36,2,1,6,3,4,1907,0,0,1,1,1,0,512,539787
62,5,4,6,7,10,1859,0,1,0,0,1,0,537,820623
142,3,2,11,1,3,1910,0,0,1,0,0,1,412,1757159
94,2,1,19,3,6,1960,0,1,0,0,1,0,283,870561
23,4,3,11,0,3,1970,0,0,1,0,0,1,380,270393
29,4,3,10,1,4,1910,1,0,0,0,1,0,488,287181
110,2,1,15,4,7,2000,0,0,0,1,1,0,288,1312689
85,2,1,13,2,4,1855,0,0,0,0,1,1,381,866250
186,5,4,8,6,8,1924,0,0,1,0,0,0,616,2820646
48,2,1,5,3,6,1964,0,0,1,0,1,0,274,683531
39,1,0,2,1,3,2004,1,0,0,1,0,0,166,464814
64,3,2,16,3,6,1880,0,1,0,1,1,0,807,878365
48,4,3,13,5,8,1972,0,0,0,0,1,0,267,463053
104,4,3,19,0,3,2007,1,0,1,0,0,0,420,1181307
47,5,4,9,3,6,1916,0,0,0,0,0,1,390,618919
53,3,2,15,5,6,1862,0,0,0,0,1,0,516,460986
37,1,0,6,1,3,1908,1,0,0,0,0,0,173,566406
91,3,2,8,6,9,1903,0,0,0,0,1,1,647,1497243
38,4,3,14,2,5,1953,0,0,0,0,1,0,100,472328
76,1,0,5,1,4,1870,0,0,0,0,1,0,107,835337
156,2,1,17,4,5,1892,1,0,0,0,1,0,231,1918145
26,1,0,7,1,3,1860,1,0,0,1,1,1,419,405773
131,3,2,9,4,7,1958,0,0,0,1,1,1,272,1894853
71,5,4,16,3,4,1916,0,1,1,0,1,0,146,1384896
34,3,2,18,1,3,2015,1,0,0,0,0,1,306,409803
65,6,5,13,6,7,1944,0,0,1,0,1,0,405,539187
89,1,0,18,4,6,2001,0,1,0,1,1,0,207,935117
41,5,4,10,3,6,1955,0,0,0,1,1,0,510,426453
78,4,3,1,2,3,1900,1,0,1,1,0,0,443,1109010
137,2,1,18,1,3,1895,0,0,0,0,1,0,335,1109249
47,6,5,19,5,7,1892,0,0,0,1,1,0,600,349315
37,2,1,2,5,7,1876,1,1,0,0,1,1,334,487997
57,5,4,4,1,3,1934,0,0,1,1,0,0,309,626077
63,5,4,11,3,5,2007,0,0,0,0,1,0,501,825349
107,4,3,3,3,5,1943,1,1,0,0,1,1,118,1649178
56,3,2,9,2,4,1976,0,0,0,0,1,0,251,619519
49,1,0,10,5,7,1859,0,0,1,0,1,0,106,538944
36,3,2,2,0,3,1980,0,1,0,0,1,0,356,376964
27,2,1,7,1,3,1909,0,0,0,0,0,0,229,359751
32,4,3,15,0,3,1876,0,0,0,0,0,1,250,348900
32,4,3,19,2,3,1972,1,0,1,1,0,0,83,307696
53,5,4,10,2,3,2022,1,1,0,0,0,1,385,732653
29,1,0,20,6,7,1911,0,0,0,1,1,0,258,243121
59,4,3,14,5,7,2001,0,0,0,1,0,0,153,684159
154,5,4,4,0,3,1895,0,0,0,0,0,0,426,1253465
109,4,3,11,5,8,1975,1,0,1,0,1,0,346,1566123
53,1,0,3,4,6,2021,1,0,1,0,1,0,597,641535
212,1,0,17,2,5,1912,0,1,0,0,1,1,237,3000000
63,1,0,7,0,3,1853,0,0,0,1,1,0,379,830112
68,3,2,11,1,3,1865,0,1,1,0,0,0,202,744338
57,3,2,18,1,3,1923,1,0,0,1,0,1,151,609333
60,6,5,14,5,8,1961,0,0,0,0,1,0,126,753060
46,2,1,14,3,6,1950,0,0,0,1,1,0,288,591454
53,2,1,6,6,9,1894,0,1,0,0,1,0,541,642083
131,3,2,9,5,7,1980,0,1,0,1,1,0,600,1646453
116,4,3,3,2,4,1866,0,1,0,1,1,0,416,1278232
24,5,4,17,6,8,2014,0,0,1,0,0,1,404,343245
30,4,3,12,1,4,1854,0,0,1,0,1,0,283,367478
41,2,1,4,0,3,1893,0,0,0,0,0,1,757,395677
99,3,2,20,4,7,2010,0,0,1,1,0,1,227,889282
117,4,3,16,2,3,1870,0,0,1,0,0,0,371,1555864
89,3,2,10,2,4,1917,1,0,0,0,1,0,327,899557
34,2,1,7,4,6,1881,1,0,0,0,0,0,728,437235
46,2,1,10,6,9,1873,1,0,0,0,1,1,524,527257
79,1,0,7,2,5,2012,0,0,0,0,1,0,504,1313097
54,4,3,18,2,5,1995,1,0,0,0,1,0,353,564303
50,1,0,9,3,6,1916,0,0,0,0,1,1,621,675710
51,2,1,18,4,5,1952,0,0,0,0,1,1,277,538386
111,2,1,17,1,4,1903,0,0,0,0,1,1,459,1433949
83,3,2,11,6,9,2003,0,0,0,0,1,0,468,826502
52,2,1,1,4,7,1974,0,0,1,0,0,0,560,607029
73,3,2,17,4,6,1966,0,0,0,0,1,0,97,738467
32,1,0,4,6,8,1914,0,0,0,1,1,0,91,387817
46,1,0,4,6,9,1963,0,0,1,0,1,0,162,590321
105,3,2,14,1,3,1925,1,0,0,0,0,1,359,1052336
28,2,1,9,1,3,1866,0,0,1,0,0,0,336,305240
84,2,1,13,5,6,1998,1,0,0,0,1,0,155,894148
24,1,0,16,7,8,1957,0,0,0,0,0,0,374,338730
143,5,4,1,4,5,1877,0,0,1,1,1,0,603,1799858
46,3,2,3,3,5,1893,1,0,0,0,1,0,628,451380
75,1,0,19,4,6,2019,0,0,1,0,1,1,426,892755
65,1,0,8,1,4,1943,1,0,0,1,1,0,261,941863
66,6,5,18,7,8,1871,0,0,0,0,1,0,258,556607
72,3,2,6,3,4,1887,0,0,0,0,0,0,148,963700
27,2,1,20,7,9,1863,0,0,1,0,1,0,661,202034
67,4,3,6,3,4,1960,1,0,1,0,1,1,308,1188557
56,4,3,5,7,9,1971,0,0,0,1,1,0,413,687591
46,4,3,12,2,4,2003,0,0,0,0,0,1,235,535085
41,3,2,9,5,6,2017,1,1,1,0,1,0,353,663071
68,2,1,9,7,10,1903,0,1,0,0,0,0,139,902350
37,1,0,17,4,6,1990,1,0,1,0,1,0,448,464341
104,5,4,19,4,6,1976,0,0,0,1,1,0,421,1042125
78,3,2,17,1,3,1868,0,0,0,0,0,0,627,636117
70,2,1,16,3,5,1891,0,0,0,1,1,0,280,1091437
102,5,4,12,6,9,1890,0,1,1,0,1,0,581,1217265
26,5,4,3,1,3,1899,1,1,1,1,0,0,251,302963
32,6,5,14,5,7,1980,0,0,1,0,1,0,197,396077
80,4,3,17,4,5,2008,0,0,0,0,1,1,183,1192277
42,6,5,16,1,4,1925,1,0,1,1,1,0,110,677296
